epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,4353.33,0.4427,0.41676,0.95875,0.9761,0.96501,0.99132,0.96229,0.258,0.22934,0.83197,0.000318349,0.000318349,0.000318349
94,4400.29,0.46323,0.43063,1.02259,0.98323,0.98105,0.99237,0.96242,0.25237,0.21599,0.83209,0.000316635,0.000316635,0.000316635
95,4447.52,0.42602,0.39785,0.9465,0.97658,0.99147,0.99387,0.95717,0.26274,0.22188,0.83339,0.000314922,0.000314922,0.000314922
96,4493.76,0.39781,0.36394,0.93293,0.97842,0.99249,0.99398,0.96403,0.25994,0.21643,0.83128,0.000313208,0.000313208,0.000313208
97,4542.54,0.4271,0.44732,0.94114,0.98126,0.98274,0.99069,0.95352,0.26531,0.22679,0.83437,0.000311494,0.000311494,0.000311494
98,4590.45,0.42124,0.3883,0.94031,0.98585,0.97482,0.9943,0.96348,0.25949,0.22428,0.83042,0.000309781,0.000309781,0.000309781
99,4636.74,0.4187,0.37727,0.93761,0.98497,0.98809,0.99473,0.95964,0.26289,0.22245,0.83106,0.000308067,0.000308067,0.000308067
100,4681.8,0.40096,0.37351,0.93239,0.98245,0.98586,0.99468,0.96126,0.26641,0.22205,0.83097,0.000306354,0.000306354,0.000306354
101,4727.84,0.41763,0.38617,0.94035,0.97221,0.96679,0.98896,0.95635,0.26267,0.24225,0.83246,0.00030464,0.00030464,0.00030464
102,4776.77,0.40871,0.37996,0.93611,0.97846,0.98409,0.99311,0.96199,0.25733,0.21162,0.8328,0.000302926,0.000302926,0.000302926
103,4819.9,0.41037,0.37511,0.94015,0.96969,0.98249,0.99251,0.96312,0.26379,0.22333,0.83142,0.000301213,0.000301213,0.000301213
104,4863.37,0.40412,0.37654,0.92963,0.97899,0.97687,0.994,0.95986,0.2528,0.2205,0.83376,0.000299499,0.000299499,0.000299499
105,4906.89,0.39598,0.35971,0.94226,0.98771,0.98488,0.99465,0.96423,0.25325,0.22423,0.83225,0.000297786,0.000297786,0.000297786
106,4950.45,0.40886,0.39046,0.94498,0.98587,0.98357,0.99463,0.96401,0.25752,0.22445,0.8336,0.000296072,0.000296072,0.000296072
107,4994.23,0.42218,0.3881,0.9523,0.98955,0.97957,0.99365,0.96722,0.24604,0.2292,0.82933,0.000294358,0.000294358,0.000294358
108,5037.8,0.41088,0.3816,0.94388,0.98627,0.98848,0.99438,0.96467,0.25691,0.22303,0.83473,0.000292645,0.000292645,0.000292645
109,5079.97,0.41172,0.38232,0.93622,0.97984,0.98127,0.9938,0.96443,0.25227,0.22895,0.8314,0.000290931,0.000290931,0.000290931
110,5122.54,0.4072,0.37171,0.93699,0.98048,0.97431,0.99194,0.96461,0.25544,0.23592,0.83107,0.000289218,0.000289218,0.000289218
111,5166.42,0.42639,0.39017,0.94078,0.97708,0.98573,0.99302,0.96537,0.25149,0.22229,0.82604,0.000287504,0.000287504,0.000287504
112,5210.46,0.41124,0.37585,0.94464,0.98304,0.97786,0.99424,0.96459,0.25801,0.22225,0.8285,0.00028579,0.00028579,0.00028579
113,5252.7,0.41357,0.37076,0.94595,0.98245,0.98682,0.99242,0.96198,0.26142,0.23653,0.82962,0.000284077,0.000284077,0.000284077
114,5295.1,0.41482,0.3999,0.94623,0.98773,0.98888,0.995,0.96718,0.25298,0.21203,0.82631,0.000282363,0.000282363,0.000282363
115,5337.34,0.39664,0.36497,0.93255,0.98239,0.98538,0.9948,0.96517,0.24481,0.21942,0.82351,0.00028065,0.00028065,0.00028065
116,5379.55,0.40625,0.36708,0.93458,0.98279,0.98378,0.99435,0.96478,0.24215,0.21661,0.82596,0.000278936,0.000278936,0.000278936
117,5421.92,0.41307,0.37826,0.93831,0.98614,0.98911,0.995,0.96651,0.24549,0.21118,0.82649,0.000277222,0.000277222,0.000277222
118,5464.14,0.39516,0.36199,0.93173,0.9811,0.98172,0.99456,0.96954,0.23864,0.21164,0.8201,0.000275509,0.000275509,0.000275509
119,5506.63,0.40288,0.37346,0.94299,0.98401,0.97046,0.99332,0.96305,0.2573,0.22332,0.83583,0.000273795,0.000273795,0.000273795
120,5548.83,0.38937,0.35135,0.93515,0.97909,0.97986,0.99465,0.96897,0.24469,0.20591,0.82464,0.000272082,0.000272082,0.000272082
121,5591.15,0.4171,0.3754,0.94492,0.98362,0.9807,0.99442,0.96229,0.24177,0.21442,0.82406,0.000270368,0.000270368,0.000270368
122,5633.61,0.40593,0.3731,0.9458,0.97073,0.99026,0.99454,0.96514,0.24714,0.23318,0.83236,0.000268654,0.000268654,0.000268654
123,5676.85,0.42467,0.39395,0.94707,0.98542,0.98965,0.99478,0.96571,0.23771,0.21863,0.82507,0.000266941,0.000266941,0.000266941
